x,gap_height_exp
-150.461,340.357
-146.11,316.711
-141.211,283.184
-139.727,345.298
-139.225,262.714
-137.171,319.534
-130.08,372.119
-116.671,376.707
-109.474,388.707
-105.637,382.354
-97.648,375.004
-94.211,202.555
-86.323,188.249
-81.613,177.661
-75.917,187.013
-67.631,177.661
-53.605,186.837
-40.508,188.249
-28.851,199.718
-20.671,199.542
-15.425,208.012
-7.63,220.717
3.047,213.659
11.424,223.54
34.037,224.246
46.529,223.54
57.854,227.775
68.564,227.775
78.088,228.481
79.863,226.364
89.981,227.07
98.311,227.07
104.853,226.364
111.448,236.951
119.721,224.952
122.441,197.957
128.443,181.896
141.773,195.518
145.256,232.913
149.337,247.199
150.115,261.765
154.74,291.176
