x,pressure_sim
-197.261,14.82
-179.078,19.87
-152.125,48.53
-130.664,107.31
-109.821,203.14
-93.039,264.71
-79.7,312.39
-72.363,344.34
-69.474,379.53
-68.587,390.65
-63.225,335.51
-60.52,245.18
-56.344,194.68
-49.158,149.73
-35.977,235.86
-32.552,310.89
-26.119,448.92
-24.637,485.51
-22.454,522.1
-18.83,548.95
-10.111,528.55
4.31,540.1
16.421,546.09
31.287,506.22
35.371,477.96
42.005,453.85
48.436,422.34
54.704,373.69
65.586,338
74.534,318.52
81.606,301.36
86.577,284.21
96.892,273.07
103.242,261.01
111.843,269.33
116.697,223.93
118.279,179.92
123.456,112.74
127.404,60.85
131.991,23.78
137.882,9.87
142.802,5.23
