x,gap_height_exp
-156.636,318.821
-151.968,293.964
-144.673,275.101
-141.135,251.658
-132.71,239.038
-123.943,230.054
-116.415,228.215
-111.837,212.414
-109.159,226.822
-104.673,217.353
-102.804,213.745
-98.318,224.546
-93.458,227.238
-92.71,225.884
-85.961,229.615
-84.486,223.614
-78.879,225.853
-75.14,219.989
-69.533,219.976
-63.925,224.919
-62.804,222.664
-57.196,229.859
-55.327,221.296
-47.353,228.794
-44.86,222.173
-38.505,228.465
-35.14,215.845
-28.411,220.334
-26.742,209.275
-22.639,220.321
-18.026,210.351
-14.953,203.637
-8.224,212.631
-4.112,200.46
-0.374,195.496
3.738,199.541
5.607,195.483
12.086,203.718
15.327,197.713
26.168,209.851
31.402,201.281
37.009,208.475
40.374,218.378
42.617,208.463
47.103,223.768
55.701,223.748
61.682,221.933
63.925,202.108
65.582,361.249
75.14,360.642
101.529,359.953
105.943,248.032
113.645,233.978
121.121,219.097
123.738,201.523
129.346,182.141
142.871,198.629
147.664,223.992
150.681,260.471
157.383,309.555
