x,gap_height_sim
-151.481,344.003
-141.065,287.893
-125.092,240.384
-90.857,214.657
-66.378,211.846
-44,210.534
-14.852,209.527
5.671,218.388
12.493,279.314
14.072,328.876
18.035,353.312
22.44,355.412
25.165,339.361
27.899,321.217
32.924,253.865
40.105,201.122
70.519,208.895
91.62,213.492
106.822,214.393
115.389,206.49
120.843,190.227
129.824,173.311
140.542,199.087
145.348,228.019
150.953,256.995
156.92,303.072
162.022,345.135
