x,pressure_sim
-198.615,10.29
-158.558,41.15
-132.255,100.2
-119.787,159.13
-103.927,222.87
-91.965,271.64
-77.954,308.03
-61.523,343.37
-46.64,371.28
-38.297,407.7
-32.855,432.92
-31.726,375.77
-29.811,339.69
-28.348,292.37
-26.622,253.57
-25.408,223.58
-24.132,189.75
-16.368,159
-7.103,201.24
-2.209,246.6
-0.399,286.86
3.953,409.5
7.303,476.43
9.81,518.07
13.507,541.91
21.94,513.24
40.168,481.16
60.237,467.32
70.966,463.43
85.454,439.36
89.925,408.86
97.202,372.71
101.426,352.05
107.746,333.7
113.376,308.34
119.099,215.07
123.444,107.3
127.731,41.21
141.308,0.76
