x,gap_height_sim
-147.849,341.491
-139.799,293.765
-130.15,256.648
-117.384,232.763
-99.903,218.668
-79.507,216.038
-60.966,215.615
-49.099,213.418
-39.828,212.101
-25.752,200.001
-19.448,227.15
-14.848,264.724
-8.378,284.621
-1.696,277.113
0.918,256.343
8.347,243.533
17.25,239.122
30.968,240.242
48.757,249.542
61.544,256.185
69.508,264.149
81.74,269.466
93.238,265.5
101.963,254.017
111.62,236.348
114.972,219.335
120.552,199.893
125.386,185.312
136.139,185.766
148.87,252.077
155.136,292.305
161.944,347.782
