x,gap_height_sim
-149.58,336.17
-140.07,289.69
-117.55,235.17
-107.75,326.57
-105.06,355.1
-94.76,358.03
-89.73,280.41
-86.84,220
-78.46,197.5
-54.31,207.25
-29.65,210.39
39.66,209.88
89.11,212.23
114.53,205.54
130.57,171.23
148.68,233.56
154.87,275.64
162.37,344.19
