x,gap_height_exp
-153.808,335.173
-148.414,316.357
-144.791,285.226
-137.605,264.362
-134.409,244.866
-131.385,229.438
-123.012,217.577
-119.223,213.433
-105.845,220.184
-97.489,216.598
-85.817,209.434
-78.709,200.396
-69.132,216.556
-65.864,236.864
-64.285,314.727
-61.235,365.504
-46.902,367.176
-38.863,364.719
-33.352,366.215
-31.173,300.196
-29.991,180.574
-24.505,194.86
-16.957,201.808
-4.054,209.688
8.702,211.926
19.099,212.099
29.653,212.459
38.325,209.061
46.833,208.672
60.537,209.216
68.886,209.768
78.802,214.079
88.884,214.44
99.437,215.365
105.729,220.433
110.624,214.408
118.668,209.694
121.516,203.671
126.275,187.113
128.036,173.004
131.995,162.842
138.121,171.86
140.294,188.22
145.454,207.773
149.982,227.891
151.819,255.16
153.978,278.29
156.286,306.123
