x,gap_height_exp
-140.032,302.225
-132.93,267.889
-127.656,243.123
-120.391,231.604
-106.213,226.03
-95.071,226.641
-85.676,214.967
-81.89,347.541
-66.408,358.593
-43.982,361.882
-40.489,282.296
-35.043,270.556
-32.218,268.033
-29.127,269.454
-28.207,265.515
-23.43,270.887
-22.982,267.227
-19.403,270.622
-14.951,263.599
-6.701,257.436
4.1,243.398
14.837,220.344
17.789,202.329
32.835,185.491
59.074,182.044
77.037,191.167
93.557,193.635
108.116,208.344
114.105,217.384
124.317,206.273
128.589,188.149
141.92,180.391
154.563,239.526
159.636,288.844
165.128,328.022
