x,gap_height_exp
-147.533,329.697
-143.977,309.768
-140.204,286.713
-133.001,266.897
-128.971,245.178
-113.942,214.342
-97.426,215.005
-82.386,206.136
-75.382,207.653
-60.538,207.657
-52.607,207.746
-41.463,205.844
-22.398,207.812
-4.138,213.557
1.426,212.635
19.719,206.094
37.187,210.891
40.368,209.959
57.846,210.975
60.23,210.985
78.52,205.39
91.993,192.599
95.029,359.981
109.665,362.896
119.179,361.446
124.435,361.468
127.689,361.481
129.844,169.435
141.618,204.075
149.708,268.403
154.578,319.621
