x,gap_height_exp
-151.7,334.382
-149.27,318.695
-144.828,305.088
-141.944,279.63
-136.995,267.21
-133.574,249.453
-131.655,231.691
-124.749,209.505
-115.987,209.241
-109.876,212.836
-106.106,218.736
-103.258,232.616
-100.715,315.669
-97.648,363.628
-81.874,364.06
-72.203,341.148
-70.878,191.344
-64.215,195.842
-59.767,202.575
-52.013,207.828
-47.742,210.456
-34.939,216.288
-29.535,211.045
-22.013,214.657
-9.244,213.025
3.996,211.209
13.159,211.944
21.022,209.407
35.231,212.072
47.719,217.902
52.786,220.975
59.073,217.385
73.085,212.026
86.642,210.398
95.267,211.143
102.422,211.949
115.37,214.796
120.123,219.292
122.58,205.308
126.795,195.996
129.064,182.533
132.145,172.085
137.549,180.391
140.103,195.033
144.179,206.096
147.105,215.45
151.412,265.117
155.859,304.873
159.957,337.537
