x,pressure_sim
-197.754,12.28
-179.968,18.98
-176.888,22.33
-161.442,31.26
-147.647,55.81
-139.25,75.91
-115.89,179.72
-110.622,204.28
-105.347,227.72
-93.993,270.14
-86.393,293.58
-77.227,314.79
-67.28,334.88
-54.217,352.74
-51.927,358.33
-37.292,372.84
-21.853,382.88
0.591,388.47
17.682,382.88
34.011,375.07
53.514,356.09
66.032,338.23
77.783,319.26
85.851,300.28
96.439,281.3
106.886,284.09
111.444,268.47
112.85,230.79
117.39,157.95
124.41,61.4
137.966,2.79
