x,gap_height_exp
-145.781,338.327
-143.569,317.907
-137.782,286.693
-131.009,256.184
-120.678,223.567
-108.017,210.437
-98.545,213.265
-81.967,216.101
-65.369,209.548
-47.205,209.569
-42.471,211.452
-23.514,209.597
-6.92,204.921
0.0009,199.531
7.912,222.623
10.542,360.576
28.704,361.536
39.17,360.609
43.055,192.774
51.54,197.52
62.651,205.172
75.648,209.659
86.138,214.515
93.173,222.721
100.553,215.277
107.764,213.609
116.237,208.402
121.737,200.583
125.363,189.595
126.956,176.368
129.483,166.124
139.29,199.486
145.053,217.006
147.054,235.454
148.732,258.559
152.604,281.48
153.788,316.881
156.884,336.262
